Price,Open,High,Low
1826.20,1821.80,1832.40,1819.80
1826.00,1812.30,1827.30,1811.20
1815.80,1822.40,1822.80,1804.20
1823.10,1808.20,1841.90,1808.00
1809.70,1805.80,1811.95,1805.55
1804.20,1801.00,1812.20,1798.90
1795.30,1823.80,1829.30,1792.70
1825.40,1827.90,1833.80,1821.30
1825.40,1796.80,1832.40,1793.70
1797.70,1801.60,1808.60,1793.20
1800.20,1786.90,1804.20,1783.90
1787.80,1818.70,1819.70,1782.00
1818.70,1822.60,1825.40,1806.20
1825.50,1792.30,1836.90,1791.80
1792.30,1808.00,1809.30,1789.00
1810.70,1801.90,1819.00,1800.10
1801.50,1799.50,1806.90,1793.20
1798.00,1783.30,1803.20,1780.50
1782.40,1780.80,1793.20,1779.10
1781.30,1810.50,1822.90,1778.10
1809.60,1817.00,1818.70,1791.80
1815.20,1783.10,1818.40,1782.90
1759.90,1763.40,1784.20,1758.20
1763.70,1754.60,1773.40,1752.90
1755.30,1771.10,1778.50,1753.30
1754.00,1751.00,1761.20,1745.90
1755.35,1753.05,1758.95,1752.55
1745.60,1740.80,1754.90,1719.00
1739.90,1739.70,1751.00,1737.60
1739.60,1752.00,1755.00,1733.90
1754.40,1763.10,1769.90,1749.20
1763.00,1777.00,1777.60,1756.60
1775.80,1782.00,1788.20,1773.40
1776.80,1774.00,1791.80,1770.20
1776.90,1769.40,1778.40,1755.80
1769.40,1758.30,1775.60,1750.30
1753.70,1709.70,1760.60,1705.50
1713.70,1715.20,1725.80,1705.10
1716.00,1678.00,1720.40,1667.10
1680.50,1678.60,1685.60,1670.00
1676.60,1631.70,1686.40,1631.10
1630.90,1639.10,1643.20,1618.30
1650.00,1651.40,1673.10,1637.40
1649.70,1636.10,1660.30,1633.60
1640.70,1647.20,1648.50,1634.50
1644.80,1667.20,1670.90,1640.70
1660.30,1664.10,1669.20,1654.40
1664.40,1652.30,1674.00,1652.30
1653.30,1649.60,1660.50,1637.00
1649.20,1662.00,1666.30,1643.60
1651.50,1626.10,1657.20,1618.10
1631.80,1628.90,1644.30,1621.20
1629.00,1652.40,1654.00,1628.00
1650.70,1651.00,1660.40,1647.00
1658.90,1646.30,1667.60,1645.20
1643.70,1665.60,1672.10,1640.80
1677.00,1680.20,1688.90,1648.30
1677.50,1673.40,1685.10,1668.00
1686.00,1675.60,1691.30,1667.50
1675.20,1703.40,1707.40,1672.50
1709.30,1721.00,1722.80,1698.40
1720.80,1725.50,1734.20,1714.80
1720.80,1734.40,1736.60,1708.80
1730.50,1708.40,1738.70,1704.00
1702.00,1670.50,1710.40,1666.50
1672.00,1669.50,1684.40,1667.50
1668.60,1669.00,1673.10,1649.30
1665.10,1631.40,1666.00,1618.00
1631.10,1626.70,1643.50,1626.70
1628.20,1643.00,1651.00,1623.20
1650.00,1674.60,1674.60,1642.70
1676.10,1674.30,1688.00,1659.00
1670.50,1666.80,1685.90,1657.60
1665.70,1682.30,1682.30,1665.90
1672.60,1680.20,1680.20,1663.50
1677.90,1665.60,1680.00,1659.10
1671.40,1695.00,1695.00,1664.80
1703.20,1704.00,1709.70,1701.10
1712.00,1733.40,1733.40,1703.80
1735.60,1731.00,1737.30,1728.00
1723.60,1716.00,1726.40,1716.00
1715.30,1723.40,1725.50,1713.50
1722.80,1722.80,1722.80,1722.80
1707.90,1719.70,1719.70,1714.20
1724.80,1719.20,1726.60,1718.75
1718.65,1723.60,1723.75,1718.65
1717.70,1709.60,1709.60,1709.60
1704.40,1708.00,1708.00,1707.00
1721.40,1721.40,1721.40,1721.40
1731.60,1731.60,1731.60,1731.60
1740.50,1740.10,1748.60,1722.50
1740.60,1762.30,1762.30,1737.00
1761.80,1755.10,1769.30,1753.80
1752.00,1752.20,1759.70,1745.50
1751.50,1739.50,1757.60,1733.80
1738.60,1750.50,1752.30,1730.40
1753.00,1762.70,1762.70,1749.50
1761.10,1766.30,1775.90,1758.90
1766.50,1780.50,1786.30,1763.70
1779.40,1785.20,1787.60,1775.20
1787.90,1808.20,1808.20,1777.60
1805.20,1793.90,1808.60,1789.90
1796.80,1797.90,1804.30,1788.50
1803.30,1799.80,1814.40,1793.00
1801.50,1794.00,1806.00,1788.50
1794.30,1780.30,1795.50,1776.20
1780.50,1796.00,1800.50,1769.80
1796.20,1771.90,1801.00,1769.50
1766.10,1767.40,1779.10,1759.70
1779.70,1779.30,1794.80,1766.20
1777.60,1772.20,1781.80,1764.10
1771.50,1762.40,1774.20,1758.40
1759.00,1741.30,1764.00,1740.90
1723.30,1720.00,1743.00,1713.80
1721.90,1721.80,1729.90,1715.90
1723.20,1730.10,1734.30,1717.50
1731.40,1721.00,1740.30,1716.40
1717.30,1697.10,1722.60,1682.80
1703.90,1713.70,1715.00,1694.60
1714.10,1711.20,1719.10,1707.70
1713.80,1710.30,1724.70,1708.90
1707.50,1712.70,1716.70,1703.50
1709.90,1738.70,1738.70,1700.60
1739.50,1728.00,1748.20,1710.90
1728.90,1737.20,1738.80,1726.00
1735.90,1741.80,1744.70,1735.10
1746.70,1743.70,1755.40,1737.00
1744.10,1743.00,1748.10,1742.40
1741.30,1771.90,1774.90,1736.80
1768.90,1817.00,1817.00,1768.90
1763.90,1814.40,1815.20,1763.00
1805.90,1810.30,1816.80,1788.90
1812.00,1816.30,1830.00,1811.50
1822.00,1822.00,1822.00,1822.00
1821.20,1823.60,1830.90,1819.10
1824.80,1839.60,1842.80,1821.80
1830.30,1824.20,1833.70,1817.70
1829.80,1839.70,1848.90,1823.50
1838.40,1834.90,1850.30,1824.50
1838.80,1840.60,1848.40,1830.70
1838.80,1840.60,1848.40,1830.70
1840.60,1859.30,1861.50,1836.10
1849.90,1835.80,1860.20,1816.30
1819.60,1809.70,1845.40,1808.40
1813.50,1820.90,1833.30,1806.10
1831.80,1879.00,1882.50,1819.00
1875.50,1850.40,1879.60,1826.50
1852.80,1855.10,1857.80,1841.90
1856.50,1855.00,1862.40,1846.60
1852.10,1843.50,1858.20,1838.50
1843.70,1853.70,1861.20,1843.00
1850.20,1872.60,1878.60,1849.70
1871.40,1849.90,1874.40,1846.50
1848.70,1840.00,1853.00,1830.20
1848.40,1856.50,1867.90,1837.60
1848.40,1856.50,1867.90,1837.60
1857.30,1855.10,1866.90,1851.90
1850.60,1854.50,1855.00,1840.40
1849.20,1867.60,1869.00,1843.00
1868.40,1855.40,1871.30,1851.30
1850.60,1847.40,1865.00,1847.40
1844.70,1842.70,1848.80,1834.00
1844.00,1818.30,1850.40,1818.30
1819.00,1816.20,1825.10,1808.90
